ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet IP Address Status,15247,Ethernet IP Address Status,ipaddr,R--,10.41.40.195,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet IP Mask Status,15249,Ethernet IP Mask Status,ipaddr,R--,255.255.255.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet IP Gateway Status,15251,Ethernet IP Gateway Status,ipaddr,R--,10.41.40.1,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet MAC Address,15365,Ethernet MAC Address,string,R--,00:03:41:20:9a:f0,,,,,,,,18,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/DNS Primary Server Status,10025,DNS Primary Server Status,ipaddr,R--,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/DNS Secondary Server Status,10026,DNS Secondary Server Status,ipaddr,R--,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/DNS Domain Status,23716,DNS Domain Status,string,R--,,,,,,,,,255,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 1/Enable,47435,Enable,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 1/IP Address,47436,IP Address,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 1/IP Mask,47437,IP Mask,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 1/IP Gateway,47454,IP Gateway,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 2/Enable,47439,Enable,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 2/IP Address,47440,IP Address,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 2/IP Mask,47441,IP Mask,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 2/IP Gateway,47455,IP Gateway,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 3/Enable,47443,Enable,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 3/IP Address,47444,IP Address,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 3/IP Mask,47445,IP Mask,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 3/IP Gateway,47456,IP Gateway,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
