ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 1/Power Rx,47399,Power Rx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 1/Power Tx,47405,Power Tx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Announcement Rate,47424,Announcement Rate,enum,RW-,203,60 s,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Present,19756,Present,enum,R--,16,NA,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Vendor Name,19760,Vendor Name,string,R--,NA,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Vendor Part Number,19768,Vendor Part Number,string,R--,NA,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Vendor Serial Number,19764,Vendor Serial Number,string,R--,NA,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Temperature,19772,Temperature,int,R--,0,,C,0,0,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Power Rx,47400,Power Rx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 2/Power Tx,47406,Power Tx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Announcement Rate,47425,Announcement Rate,enum,RW-,203,60 s,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Present,19757,Present,enum,R--,16,NA,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Vendor Name,19761,Vendor Name,string,R--,NA,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Vendor Part Number,19769,Vendor Part Number,string,R--,NA,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Vendor Serial Number,19765,Vendor Serial Number,string,R--,NA,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Temperature,19773,Temperature,int,R--,0,,C,0,0,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Power Rx,47401,Power Rx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 3/Power Tx,47407,Power Tx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Announcement Rate,47426,Announcement Rate,enum,RW-,203,60 s,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Present,20779,Present,enum,R--,16,NA,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Vendor Name,20780,Vendor Name,string,R--,NA,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Vendor Part Number,20781,Vendor Part Number,string,R--,NA,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Vendor Serial Number,20778,Vendor Serial Number,string,R--,NA,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Temperature,20787,Temperature,int,R--,0,,C,0,0,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Power Rx,47402,Power Rx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SFP 4/Power Tx,47408,Power Tx,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SMARC/Present,20783,Present,enum,R--,16,NA,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/SMARC/Reboot Smarc,35911,Reboot Smarc,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
